date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:28:23	1166/1166	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Sep%202023%2008:58:54%20GMT	https://wish-create.com/robots.txt		(from )
19:28:23	16010/16010	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Dec%202023%2018:28:42%20GMT	https://wish-create.com/de/	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/wish-create.com/de/index.html	(from )
19:28:24	22118/22118	---M--	200	added ('OK')	image/png	etag:%225666-657ea1ad-8f7f418d39be2a39;;;%22	https://wish-create.com/de/img/msg.png	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/wish-create.com/de/img/msg.png	(from https://wish-create.com/de/)
19:28:24	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-ce35%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	(from https://wish-create.com/de/)
19:28:25	2457/2457	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Sep%202023%2008:58:54%20GMT	https://wish-create.com/de/images/.gif	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/wish-create.com/de/images/.gif	(from https://wish-create.com/de/)
19:28:25	20528/20528	---M--	200	added ('OK')	image/gif	etag:%225030-657ea1ad-e1fb4d1621a1eb8;;;%22	https://wish-create.com/de/img/sname.gif	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/wish-create.com/de/img/sname.gif	(from https://wish-create.com/de/)
19:28:26	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://wish-create.com/de/)
19:28:26	3601/3601	---M-Z	200	added ('OK')	application/x-javascript	etag:%22e11-657ea1ad-79d5a9f13a36ef7;gz%22	https://wish-create.com/de/slide.js	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/wish-create.com/de/slide.js	(from https://wish-create.com/de/)
19:28:27	42154/42154	---M--	200	added ('OK')	image/png	etag:%22a4aa-65814a53-3a7e9832b92c488e;;;%22	https://wish-create.com/de/img/prchr.png	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/wish-create.com/de/img/prchr.png	(from https://wish-create.com/de/)
19:28:27	31319/31319	---M--	200	added ('OK')	image/gif	etag:%227a57-657ea1ad-a4acf5cc8ab7f36a;;;%22	https://wish-create.com/de/img/arrow1.gif	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/wish-create.com/de/img/arrow1.gif	(from https://wish-create.com/de/)
19:28:27	77545/77545	---M--	200	added ('OK')	image/png	etag:%2212ee9-65814a4c-26886193c85fd5a1;;;%22	https://wish-create.com/de/img/touch.png	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/wish-create.com/de/img/touch.png	(from https://wish-create.com/de/)
19:28:28	2270/2270	---M--	200	added ('OK')	image/png	etag:%228de-657ea1ad-3126964a63cfc72c;;;%22	https://wish-create.com/de/img/mt1.png	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/wish-create.com/de/img/mt1.png	(from https://wish-create.com/de/)
19:28:28	2074/2074	---M--	200	added ('OK')	image/png	etag:%2281a-657ea1ad-67af86327be3176b;;;%22	https://wish-create.com/de/img/mt2.png	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/wish-create.com/de/img/mt2.png	(from https://wish-create.com/de/)
19:28:29	2388/2388	---M--	200	added ('OK')	image/png	etag:%22954-657ea1ad-b8c41cca8d4f69b8;;;%22	https://wish-create.com/de/img/mt3.png	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/wish-create.com/de/img/mt3.png	(from https://wish-create.com/de/)
19:28:30	2198/2198	---M--	200	added ('OK')	image/png	etag:%22896-657ea1ad-302b22d04f65980a;;;%22	https://wish-create.com/de/img/mt4.png	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/wish-create.com/de/img/mt4.png	(from https://wish-create.com/de/)
19:28:30	2428/2428	---M--	200	added ('OK')	image/png	etag:%2297c-657ea1ad-ce44ebaf7da44be1;;;%22	https://wish-create.com/de/img/mt5.png	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/wish-create.com/de/img/mt5.png	(from https://wish-create.com/de/)
19:28:30	2174/2174	---M--	200	added ('OK')	image/png	etag:%2287e-657ea1ad-2fca55aa99047568;;;%22	https://wish-create.com/de/img/mt6.png	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/wish-create.com/de/img/mt6.png	(from https://wish-create.com/de/)
19:28:31	2416/2416	---M--	200	added ('OK')	image/png	etag:%22970-657ea1ad-13feec60deee9e87;;;%22	https://wish-create.com/de/img/mt7.png	C:/Users/favou/Desktop/christmas/https___wish-create.com_de_/wish-create.com/de/img/mt7.png	(from https://wish-create.com/de/)
